Title,Rating,Votes,Duration,Genre
36-24-36,6.1,204,118.0,Romance
Honeko Akabane's Bodyguards,5.9,35,117.0,Romance
Muse,0.0,0,69.0,Romance
Life Hotel,6.6,150,118.0,Romance
PAPmusic - Animation for Fashion,1.0,124,85.0,Romance
Love Me If You Dare,4.3,470,128.0,Romance
The Untold Story,6.4,17,0.0,Romance
Could Have Waited for August,6.2,830,112.0,Romance
Teriyaan Meriyaan Hera Pheriyan,6.7,75,125.0,Romance
3. Gun,3.9,132,0.0,Romance
Yumi's Cells: The Movie,6.2,48,93.0,Romance
A Christmas of Wonders,4.8,120,86.0,Romance
Morena,7.8,62,106.0,Romance
Keshava Chandra Ramavath,6.7,76,133.0,Romance
Babli,6.8,565,134.0,Romance
Table for Six 2,5.4,312,133.0,Romance
Günesi Söndürmem Gerek,3.5,178,105.0,Romance
Rajkumar,7.3,2600,145.0,Romance
Our Church Thinks We're Dating,7.5,59,102.0,Romance
Pretty Boys,5.4,33,67.0,Romance
Unn Sawali,7.9,11,0.0,Romance
Chanchal Haseena,7.2,34,98.0,Romance
Shark Island,4.0,114,81.0,Romance
A Ghetto Love Story,9.8,10,0.0,Romance
Allahr Vres,8.6,16,135.0,Romance
The Proud Princess,7.1,98,84.0,Romance
O2,6.7,7900,105.0,Romance
Gili Gili Raat,5.7,12,93.0,Romance
Dreaming of You,8.5,24,95.0,Romance
Traces of Love,6.5,901,105.0,Romance
Elle & lui & le reste du monde,5.7,106,85.0,Romance
Der Junge dem die Welt gehört,7.9,76,96.0,Romance
On the Market,0.0,0,95.0,Romance
Pantaskah Aku Berhijab,8.1,16,114.0,Romance
Kuch Sapney Apne,8.0,47,120.0,Romance
Romance with My Vampire Brother,7.4,10,0.0,Romance
Tendaberry,6.8,35,115.0,Romance
All's Fair in Love,6.3,16,115.0,Romance
My Future You,8.5,45,109.0,Romance
We Are Tourists,0.0,0,97.0,Romance
Lost & Found You,6.9,16,0.0,Romance
Advent,7.5,6,119.0,Romance
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9,83,138.0,Romance
Honeymoon Express,8.4,2100,118.0,Romance
Hearts Creek,5.8,114,90.0,Romance
Gingersnap Christmas,4.6,26,0.0,Romance
My Sassy Girl,5.2,109,117.0,Romance
The Little Things,7.7,39,90.0,Romance
Aaram Aravinda Swamy,9.4,327,132.0,Romance
My Zombabe,5.1,78,105.0,Romance
¿Quién quiere casarse con un Astronauta?,8.7,10,94.0,Romance
Amar Prem Ki Prem Kahani,4.4,629,117.0,Romance
Daghabaaz Dil,6.4,67,123.0,Romance
Heart Strings,6.4,9,107.0,Romance
Hell City,9.1,26,90.0,Romance
Die Ironie des Lebens,6.6,66,109.0,Romance
Jingle Bell Love,6.1,213,81.0,Romance
"Sampai Nanti, Hanna!",7.3,261,110.0,Romance
Raseeli Raatein,6.4,11,91.0,Romance
Le beau rôle,6.9,54,84.0,Romance
"Love, Wine & Salt: A Tuscan Romance",7.1,15,0.0,Romance
Hong lou meng,3.3,19,120.0,Romance
Zyat,4.2,108,80.0,Romance
Roti Kapda Romance,7.5,2500,153.0,Romance
Ibbani Tabbida Ileyali,7.4,831,160.0,Romance
Him,7.1,19,80.0,Romance
Murphy,7.3,2400,136.0,Romance
Umjolo: Day Ones,4.0,149,86.0,Romance
Bed & Breakfast,6.2,199,83.0,Romance
Listy do M. Pozegnania i powroty,6.0,308,123.0,Romance
40,4.8,18,103.0,Romance
Skinny Love,8.3,83,92.0,Romance
Hani,0.0,0,73.0,Romance
Love Lies,7.3,245,114.0,Romance
Happiness Is,3.8,291,96.0,Romance
Maybe Forever,8.0,31,0.0,Romance
Greice,6.9,118,110.0,Romance
A Wall Away,5.0,75,90.0,Romance
Kaaduvetty,3.2,145,157.0,Romance
Yeni Hayat,3.0,32,132.0,Romance
Seré breve al momento de morir,5.7,14,78.0,Romance
X & Y,7.3,11,101.0,Romance
The Last 12 Days,0.0,0,124.0,Romance
Pasutri Gaje,5.9,324,109.0,Romance
Christmas in Lagos,4.6,167,120.0,Romance
A Soweto Love Story,4.4,282,101.0,Romance
Ibiza Dark,8.3,15,95.0,Romance
Dinda,7.0,37,94.0,Romance
A Heart for Christmas,7.5,99,91.0,Romance
Remember I am Dead,0.0,0,40.0,Romance
Ask Mevsimi,4.9,323,126.0,Romance
Oru Kattil Oru Muri,4.5,55,125.0,Romance
Boda Love,8.2,13,107.0,Romance
Dukkhito,7.4,69,29.0,Romance
Love Dodoma,0.0,0,90.0,Romance
La piel en primavera,6.9,49,100.0,Romance
The Gifts of Christmas,5.9,17,0.0,Romance
Usha Parinayam,9.0,2100,144.0,Romance
Meeting Funmi's Parents,8.6,15,0.0,Romance
City of Second Chances,7.9,36,0.0,Romance
Dr. Jason II - Lights & Shadows,5.3,284,62.0,Romance
